time,G(i),H_sun,T2m,WS10m,Int
20150101:0011,0.0,0.0,6.67,10.14,0.0
20150101:0111,0.0,0.0,6.68,10.28,0.0
20150101:0211,0.0,0.0,6.55,10.62,0.0
20150101:0311,0.0,0.0,6.36,10.62,0.0
20150101:0411,0.0,0.0,6.23,11.38,0.0
20150101:0511,0.0,0.0,6.14,10.9,0.0
20150101:0611,0.0,0.0,6.03,11.45,0.0
20150101:0711,0.0,0.0,6.01,11.52,0.0
20150101:0811,0.0,0.0,5.88,11.93,0.0
20150101:0911,22.58,7.09,5.56,11.93,0.0
20150101:1011,19.87,10.87,5.18,12.34,0.0
20150101:1111,33.41,12.68,5.17,12.34,0.0
20150101:1211,37.93,12.34,5.42,12.97,0.0
20150101:1311,23.48,9.89,5.58,12.48,0.0
20150101:1411,20.77,5.54,5.47,11.86,0.0
20150101:1511,0.0,0.0,5.57,12.0,0.0
20150101:1611,0.0,0.0,5.64,12.97,0.0
20150101:1711,0.0,0.0,5.55,13.03,0.0
20150101:1811,0.0,0.0,5.55,13.31,0.0
20150101:1911,0.0,0.0,5.7,13.66,0.0
20150101:2011,0.0,0.0,5.86,14.0,0.0
20150101:2111,0.0,0.0,5.92,14.41,0.0
20150101:2211,0.0,0.0,5.84,14.69,0.0
20150101:2311,0.0,0.0,5.96,14.97,0.0
20150102:0011,0.0,0.0,6.28,16.69,0.0
20150102:0111,0.0,0.0,6.88,17.59,0.0
20150102:0211,0.0,0.0,7.11,17.03,0.0
20150102:0311,0.0,0.0,7.5,17.17,0.0
20150102:0411,0.0,0.0,8.08,16.97,0.0
20150102:0511,0.0,0.0,8.73,16.28,0.0
20150102:0611,0.0,0.0,9.08,16.21,0.0
20150102:0711,0.0,0.0,8.79,15.86,0.0
20150102:0811,0.0,0.0,8.41,15.72,0.0
20150102:0911,150.71,7.13,7.9,15.79,0.0
20150102:1011,122.77,10.94,7.73,15.93,0.0
20150102:1111,328.5,12.76,7.49,16.9,0.0
20150102:1211,414.63,12.44,7.27,16.0,0.0
20150102:1311,293.81,10.0,7.17,16.21,0.0
