time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20170101:0010,0.0,0.0,0.0,0.0,0.0,-7.03,0.9,0.0
20170101:0110,0.0,0.0,0.0,0.0,0.0,-7.29,0.97,0.0
20170101:0210,0.0,0.0,0.0,0.0,0.0,-7.58,0.97,0.0
20170101:0310,0.0,0.0,0.0,0.0,0.0,-7.69,0.97,0.0
20170101:0410,0.0,0.0,0.0,0.0,0.0,-7.68,0.97,0.0
20170101:0510,0.0,0.0,0.0,0.0,0.0,-7.74,1.03,0.0
20170101:0610,0.0,0.0,0.0,0.0,0.0,-7.83,1.03,0.0
20170101:0710,38940000.0,331.27,96.8,2.78,9.81,-8.0,1.1,0.0
20170101:0810,60538000.0,560.66,116.56,5.44,16.83,-6.21,0.97,0.0
20170101:0910,34817000.0,182.3,206.6,5.07,21.77,-2.81,1.03,0.0
20170101:1010,34201000.0,161.37,222.21,5.42,24.14,-1.79,1.17,0.0
20170101:1110,39323000.0,217.72,223.0,5.74,23.64,-1.74,1.17,0.0
20170101:1210,46774000.0,343.14,185.6,5.71,20.35,-0.66,1.17,0.0
20170101:1310,43955000.0,386.82,112.86,4.43,14.64,-0.61,1.1,0.0
20170101:1410,20780000.0,185.04,64.22,1.75,7.03,-0.73,0.9,0.0
20170101:1510,0.0,0.0,0.0,0.0,0.0,-1.53,0.97,0.0
20170101:1610,0.0,0.0,0.0,0.0,0.0,-1.36,1.03,0.0
20170101:1710,0.0,0.0,0.0,0.0,0.0,-2.71,1.1,0.0
20170101:1810,0.0,0.0,0.0,0.0,0.0,-3.05,1.17,0.0
20170101:1910,0.0,0.0,0.0,0.0,0.0,-3.17,1.17,0.0
20170101:2010,0.0,0.0,0.0,0.0,0.0,-3.67,1.24,0.0
20170101:2110,0.0,0.0,0.0,0.0,0.0,-4.12,1.31,0.0
20170101:2210,0.0,0.0,0.0,0.0,0.0,-4.45,1.31,0.0
20170101:2310,0.0,0.0,0.0,0.0,0.0,-4.94,1.38,0.0
20170102:0010,0.0,0.0,0.0,0.0,0.0,-5.64,1.45,0.0
20170102:0110,0.0,0.0,0.0,0.0,0.0,-6.22,1.52,0.0
20170102:0210,0.0,0.0,0.0,0.0,0.0,-6.8,1.59,0.0
20170102:0310,0.0,0.0,0.0,0.0,0.0,-7.19,1.59,0.0
20170102:0410,0.0,0.0,0.0,0.0,0.0,-7.46,1.59,0.0
20170102:0510,0.0,0.0,0.0,0.0,0.0,-7.79,1.59,0.0
20170102:0610,0.0,0.0,0.0,0.0,0.0,-8.35,1.66,0.0
20170102:0710,44345000.0,407.02,79.64,2.95,9.82,-7.88,1.52,0.0
20170102:0810,64284000.0,643.74,83.1,5.67,16.86,-4.32,1.17,0.0
20170102:0910,74062000.0,790.56,78.15,7.59,21.82,-0.41,1.03,0.0
20170102:1010,74836000.0,764.83,116.95,8.27,24.21,0.88,1.24,0.0
20170102:1110,51003000.0,359.15,221.77,6.59,23.74,0.66,1.31,0.0
