rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/total_timesteps,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates
336.0,1,-78035.457812,29,11,336,,,,
336.0,2,-82527.2333735,64,10,672,-172122.82278442383,0.001,217003331440.0,336
336.0,3,-86276.61317099999,98,10,1008,-152198.53771391368,0.001,3869594247.2380953,672
336.0,4,-109514.30117625,135,9,1344,-150116.24518694196,0.001,3784305430.4761906,1008
336.0,5,-120129.4679858,168,9,1680,-162042.9076450893,0.001,2574312000.571429,1344
336.0,6,-121398.20630983333,201,9,2016,-161623.766578311,0.001,4457683091.238095,1680
336.0,7,-143604.90262885715,234,10,2352,-158441.68516322545,0.001,3802962622.6666665,2016
336.0,8,-144126.587845875,267,10,2688,-153335.80196707588,0.001,1564233945.142857,2352
336.0,9,-142474.1089918889,300,10,3024,-150768.12381417412,0.001,1214912408.0952382,2688
336.0,10,-140187.8251813,333,10,3360,-150095.00904482888,0.001,2738869345.6190476,3024
336.0,11,-141906.17083327274,367,10,3696,-153002.07205054874,0.001,4016773348.857143,3360
336.0,12,-149070.71820266667,399,10,4032,-156183.48009672618,0.001,915394094.7142857,3696
336.0,13,-151858.27693284617,433,10,4368,-152726.10119047618,0.001,754348067.7142857,4032
336.0,14,-158910.7311699286,468,10,4704,-149336.21491350446,0.001,780328122.1904762,4368
336.0,15,-155537.61366733335,500,10,5040,-156220.37078930082,0.001,6743307541.952381,4704
336.0,16,-154119.7171396875,539,9,5376,-202438.25971912203,0.001,945503346.1904762,5040
336.0,17,-150027.92316194117,574,9,5712,-199697.62021019345,0.001,721689595.3333334,5376
336.0,18,-151478.88244166665,607,9,6048,-194641.55991908483,0.001,1370991233.952381,5712
336.0,19,-155571.21836499998,643,9,6384,-190471.53687686013,0.001,498914223.2380952,6048
336.0,20,-152575.62062599996,677,9,6720,-190955.39773995537,0.001,484317141.85714287,6384
336.0,21,-153548.0644160952,709,9,7056,-185716.36793154763,0.001,432816682.0952381,6720
336.0,22,-153566.5850547727,742,9,7392,-180667.85184151787,0.001,383014718.61904764,7056
336.0,23,-154178.85051356518,777,9,7728,-175663.91806175595,0.001,333943996.2619048,7392
336.0,24,-153454.1923936667,814,9,8064,-170833.72651599703,0.001,302244981.1666667,7728
336.0,25,-154064.94155172003,847,9,8400,-166362.42094494047,0.001,286481626.3333333,8064
336.0,26,-154973.67355957694,887,9,8736,-162456.4035063244,0.001,229973432.16666666,8400
336.0,27,-152049.70385540742,928,9,9072,-158289.11528087797,0.001,236835490.45238096,8736
336.0,28,-148886.65699432144,966,9,9408,-154291.4074125744,0.001,187760837.32142857,9072
336.0,29,-145720.13568424142,999,9,9744,-150418.123046875,0.001,181192619.41666666,9408
336.0,30,-146280.3500468667,1033,9,10080,-146145.7300734747,0.001,185602341.80952382,9744
336.0,31,-146891.39335709682,1067,9,10416,-142400.55008370537,0.001,149155590.26190478,10080
336.0,32,-142848.08214737498,1101,9,10752,-138287.2945265997,0.001,135847213.9940476,10416
336.0,33,-140732.22547290905,1133,9,11088,-134571.84291294642,0.001,127614669.82142857,10752
336.0,34,-141443.86318799996,1162,9,11424,-130084.36335100446,0.001,113637636.30357143,11088
336.0,35,-141381.97402602853,1189,9,11760,-126395.42771112351,0.001,117335543.39880952,11424
336.0,36,-140823.44650558327,1218,9,12096,-122833.16903831845,0.001,98693812.52380952,11760
336.0,37,-140047.5406117567,1247,9,12432,-119162.52783203125,0.001,89282359.47023809,12096
336.0,38,-140294.380352421,1276,10,12768,-115539.1171875,0.001,89143477.7470238,12432
336.0,39,-143012.18067443586,1308,10,13104,-112415.10095796132,0.001,82735155.0654762,12768
336.0,40,-145727.887965,1340,10,13440,-108557.03562127976,0.001,78525961.8125,13104
336.0,41,-145777.90007231708,1370,10,13776,-105005.84328497024,0.001,71811206.5595238,13440
336.0,42,-145002.82628745236,1397,10,14112,-101877.65150669643,0.001,62943202.69940476,13776
336.0,43,-143680.98587823258,1425,10,14448,-98648.25409226191,0.001,65872868.166666664,14112
336.0,44,-141945.49201561365,1454,10,14784,-95541.29894438243,0.001,56607122.0625,14448
336.0,45,-143653.29240913334,1483,10,15120,-92329.13344029018,0.001,56124290.383928575,14784
336.0,46,-144196.59569063043,1513,10,15456,-89154.4263625372,0.001,59121786.989583336,15120
336.0,47,-142614.62403738298,1539,10,15792,-86786.49644252232,0.001,46353934.16964286,15456
336.0,48,-141772.54474352085,1567,10,16128,-84054.12116350446,0.001,45925484.428571425,15792
336.0,49,-142951.22546397962,1595,10,16464,-81074.38288225446,0.001,43711865.729166664,16128
336.0,50,-142243.96079050002,1623,10,16800,-78581.26776413691,0.001,39894472.88095238,16464
336.0,51,-142086.80379676473,1652,10,17136,-76051.89220610118,0.001,37758151.94345238,16800
336.0,52,-142797.13097128848,1685,10,17472,-73426.2589983259,0.001,37008778.354166664,17136
336.0,53,-143255.33106786796,1716,10,17808,-70884.6561686198,0.001,34100009.702380955,17472
336.0,54,-142845.89041025928,1748,10,18144,-68445.50666155134,0.001,30712277.104166668,17808
336.0,55,-144051.05678043637,1777,10,18480,-66041.75067429316,0.001,28666948.70684524,18144
336.0,56,-145939.85082683928,1809,10,18816,-63680.57231212797,0.001,28868278.489583332,18480
336.0,57,-145293.24278973683,1839,10,19152,-61396.109735398066,0.001,26865763.79315476,18816
336.0,58,-145851.8415995,1867,10,19488,-59074.53327287947,0.001,24016746.648809522,19152
336.0,59,-147265.08606366103,1896,10,19824,-56854.50183686756,0.001,23280895.51190476,19488
336.0,60,-147603.62937378333,1929,10,20160,-54720.52825055803,0.001,22929983.09970238,19824
336.0,61,-149717.10999173773,1962,10,20496,-52167.86929175967,0.001,46352286.65625,20160
336.0,62,-150608.59811964518,1993,10,20832,-49916.11932663691,0.001,19448098.697916668,20496
336.0,63,-151557.20283379368,2027,10,21168,-48071.504603794645,0.001,18510511.729166668,20832
336.0,64,-152798.87754935937,2059,10,21504,-46116.32184709822,0.001,18541334.90625,21168
336.0,65,-152944.97555772308,2088,10,21840,-44329.62846447172,0.001,16736379.416666666,21504
336.0,66,-151848.45924466665,2116,10,22176,-42538.78556315104,0.001,16037484.245535715,21840
336.0,67,-151874.11361582088,2149,10,22512,-40829.86346726191,0.001,15752856.12797619,22176
