rollout/ep_len_mean,time/fps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss
336.0,21,1,15,-23708.050511,336,,,,
336.0,17,2,37,-81600.997911,672,67776.42630658831,336,0.001,5125263834.0
336.0,16,3,61,-137858.96225933332,1008,48911.5545880908,672,0.001,1061603808.1904762
336.0,15,4,86,-133557.713747,1344,36409.61677605765,1008,0.001,873163076.4761904
336.0,14,5,114,-140862.92628379998,1680,28671.78938438779,1344,0.001,537184340.6666666
336.0,14,6,141,-136342.87498783335,2016,25061.345474606467,1680,0.001,502709490.95238096
336.0,14,7,167,-129781.06403671429,2352,23394.7271396092,2016,0.001,347842694.9047619
336.0,13,8,192,-131055.53664225,2688,21609.71152750651,2352,0.001,252084093.2142857
336.0,13,9,219,-131387.72566977778,3024,19521.42339306786,2688,0.001,178632696.72619048
336.0,13,10,243,-125649.09748479999,3360,19075.391367594402,3024,0.001,123218387.1904762
336.0,13,11,268,-126048.21347318181,3696,19305.66336495536,3360,0.001,106333428.76190476
336.0,13,12,297,-135515.708015,4032,19172.21710059756,3696,0.001,71696527.13690476
336.0,13,13,327,-129373.23578907692,4368,19411.99688720703,4032,0.001,59374955.684523806
336.0,13,14,356,-129565.90890142857,4704,18943.47143191383,4368,0.001,65897477.5952381
336.0,13,15,386,-126948.858603,5040,18496.646603538877,4704,0.001,35174933.002976194
336.0,12,16,415,-122818.0859101875,5376,18300.5151890346,5040,0.001,40416456.63690476
336.0,12,17,444,-121304.5028057647,5712,18001.7179187593,5376,0.001,33277777.02529762
336.0,12,18,474,-131732.88341922223,6048,17974.96459524972,5712,0.001,28653806.54315476
336.0,12,19,505,-130752.77083626315,6384,17973.70029703776,6048,0.001,16129953.250744049
336.0,12,20,537,-127509.62456475,6720,17885.540174211776,6384,0.001,22069192.45907738
336.0,12,21,566,-123553.02861109524,7056,17855.588695707775,6720,0.001,11308312.122767856
336.0,12,22,596,-129162.71915504546,7392,17945.799307686942,7056,0.001,14706768.60044643
336.0,12,23,625,-123260.747757,7728,18267.65833972749,7392,0.001,8691629.077380951
336.0,12,24,653,-122633.37981508333,8064,18281.6459437779,7728,0.001,9086226.757440476
336.0,12,25,684,-123505.62601443999,8400,18478.381824311757,8064,0.001,10040230.50967262
