time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/learning_rate,train/loss,train/entropy_loss,train/std,train/value_loss,train/n_updates,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/clip_range
2048,28,70,-42181.64005633334,336.0,1,,,,,,,,,,,
4096,28,142,-45898.04672816667,336.0,2,0.0916015625,0.0003,2544740.75,-4.251976962387562,0.9971438050270081,6840718.85625,10,0.008471438,-5.245208740234375e-06,-0.012312093297077808,0.2
6144,28,214,-42787.85455833333,336.0,3,0.063427734375,0.0003,3539904.0,-4.235558673739433,0.9890685081481934,6440845.9328125,20,0.008626701,-0.00018513202667236328,-0.011047494538070168,0.2
8192,28,286,-43894.601872458334,336.0,4,0.075537109375,0.0003,2336701.0,-4.21619126945734,0.9834678769111633,4273375.64453125,30,0.008300245,-0.00010800361633300781,-0.01102207926014671,0.2
10240,28,359,-40462.09301580001,336.0,5,0.06455078125,0.0003,3414407.0,-4.2029065728187565,0.9809492230415344,6403609.90390625,40,0.007412833,3.9517879486083984e-05,-0.010565863788360729,0.2
12288,28,434,-38988.24884961111,336.0,6,0.09130859375,0.0003,1296708.875,-4.1852644577622415,0.9733608365058899,2688376.357421875,50,0.009536418,2.2590160369873047e-05,-0.013882321053824854,0.2
14336,28,509,-36062.06053997619,336.0,7,0.075830078125,0.0003,1534084.0,-4.166125020384788,0.9677221179008484,2954065.485546875,60,0.0079663955,-3.0994415283203125e-06,-0.010683721417444758,0.2
16384,28,583,-33904.575239750004,336.0,8,0.09140625,0.0003,1065075.5,-4.142833538353443,0.9590874314308167,1768745.614453125,70,0.008623723,-5.125999450683594e-06,-0.011070187473524128,0.2
18432,27,660,-32265.05259188889,336.0,9,0.08916015625,0.0003,1140196.0,-4.1077418506145476,0.9464738965034485,2465390.027734375,80,0.010099264,1.7881393432617188e-07,-0.013165327839669772,0.2
20480,27,735,-29309.369253050005,336.0,10,0.1087890625,0.0003,840744.3125,-4.065837585926056,0.9348995089530945,1244552.7197265625,90,0.009632708,-1.1920928955078125e-07,-0.013216756064502988,0.2
22528,27,810,-26392.650654388064,336.0,11,0.111181640625,0.0003,516582.65625,-4.032926318049431,0.9251992702484131,1085449.7873046875,100,0.008138709,6.222724914550781e-05,-0.008107739593833685,0.2
24576,27,885,-23957.410633164385,336.0,12,0.123779296875,0.0003,507380.15625,-3.995476742088795,0.9148194789886475,797107.9409179688,110,0.009815024,-0.0006923675537109375,-0.006930449664650951,0.2
26624,27,959,-22259.631039734177,336.0,13,0.06435546875,0.0003,237002.953125,-3.9759121127426624,0.9118385910987854,550245.084765625,120,0.006049571,0.0037798285484313965,-0.0068266896138084125,0.2
28672,27,1034,-20121.833039788235,336.0,14,0.049755859375,0.0003,541168.875,-3.966610284894705,0.9095544219017029,1059173.6525390625,130,0.0064518047,0.0020606517791748047,-0.007467954207822913,0.2
30720,27,1110,-18298.15190332967,336.0,15,0.062451171875,0.0003,441329.53125,-3.953842630237341,0.9048213958740234,874696.9017578125,140,0.0074168523,0.004343569278717041,-0.008867907113744878,0.2
32768,27,1184,-16219.301032402063,336.0,16,0.030859375,0.0003,507805.59375,-3.9372066728770734,0.8992010951042175,1017768.987890625,150,0.0048622163,-0.0006424188613891602,-0.006923094913508976,0.2
34816,27,1262,-13716.37281113,336.0,17,0.059619140625,0.0003,603731.4375,-3.9184616982936857,0.8949248194694519,1389221.0771484375,160,0.007002999,-0.004585742950439453,-0.008997333156003151,0.2
36864,27,1341,-9472.456570970004,336.0,18,0.03837890625,0.0003,623431.6875,-3.894951608031988,0.8863177299499512,1446921.7890625,170,0.0064677154,-0.005071163177490234,-0.006595664062479046,0.2
38912,27,1415,-6100.682483219999,336.0,19,0.048583984375,0.0003,808580.25,-3.8696450494229793,0.8810327053070068,1503432.9423828125,180,0.006845058,0.0015109777450561523,-0.006033721323183272,0.2
40960,27,1494,-2153.383355550001,336.0,20,0.055810546875,0.0003,959292.25,-3.8471417352557182,0.8741101622581482,1999228.63203125,190,0.0063605784,0.0001875162124633789,-0.0074494170534308065,0.2
43008,27,1570,1694.7356129899997,336.0,21,0.046875,0.0003,686014.375,-3.828895651549101,0.8704226613044739,1498575.709765625,200,0.006494205,0.002098679542541504,-0.006767790103913285,0.2
45056,27,1644,4950.48734196,336.0,22,0.0326171875,0.0003,1139367.0,-3.810619639605284,0.8654223084449768,2138157.46953125,210,0.0056851963,0.002208530902862549,-0.005495465430431068,0.2
47104,27,1719,7996.202390719999,336.0,23,0.0208984375,0.0003,1091812.0,-3.7951781429350375,0.8606579899787903,2109670.512109375,220,0.0046822084,0.007479548454284668,-0.003597799306953675,0.2
49152,27,1795,10610.25751931,336.0,24,0.03349609375,0.0003,1064648.0,-3.7832092925906182,0.8585250377655029,2252602.36484375,230,0.0055874963,0.00810939073562622,-0.006423896394335315,0.2
51200,27,1876,13262.956066120001,336.0,25,0.046630859375,0.0003,1046256.625,-3.7641799353063106,0.8516366481781006,1994172.119921875,240,0.006452379,0.011714756488800049,-0.006464365258580074,0.2
53248,27,1953,15208.782902230001,336.0,26,0.038037109375,0.0003,1246296.875,-3.743692172318697,0.846962034702301,2344236.7875,250,0.005678152,0.007291257381439209,-0.005127055184857454,0.2
55296,27,2027,16653.45830171,336.0,27,0.048974609375,0.0003,1200018.5,-3.724548377841711,0.841579258441925,2282927.55078125,260,0.006960934,0.0070642828941345215,-0.005882932789972983,0.2
