rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/loss,train/learning_rate,train/approx_kl,train/clip_range,train/entropy_loss,train/std
-52247.64250400001,336.0,2048,1,18,111,,,,,,,,,,,
-46561.386430666666,336.0,4096,2,18,225,7467475.2703125,0.062548828125,-0.011765564621600787,10,2.0742416381835938e-05,3849810.0,0.0003,0.0076952255,0.2,-4.256945404410362,1.0000914335250854
-44576.774402111114,336.0,6144,3,18,333,5339517.7171875,0.08076171875,-0.013350379539770075,20,-0.0001767873764038086,2267171.0,0.0003,0.009363903,0.2,-4.2507115915417675,0.9960100650787354
-43619.94786766667,336.0,8192,4,18,440,5210491.41328125,0.06298828125,-0.009257806331152096,30,1.055002212524414e-05,2755202.5,0.0003,0.007624594,0.2,-4.2370712265372275,0.9910323619842529
-43056.79343053333,336.0,10240,5,18,551,5113237.83203125,0.082763671875,-0.015052677276253234,40,-6.67572021484375e-06,2365387.25,0.0003,0.009333398,0.2,-4.221979986131191,0.9863500595092773
-40840.14118111111,336.0,12288,6,18,666,4923171.73828125,0.055712890625,-0.009901327408078942,50,-5.7220458984375e-06,2233734.5,0.0003,0.0069347834,0.2,-4.2149811938405035,0.9866048693656921
-38389.14438995238,336.0,14336,7,18,788,2669658.355859375,0.071044921875,-0.01127675840689335,60,-8.225440979003906e-06,961787.625,0.0003,0.0074126436,0.2,-4.20508194565773,0.9811537265777588
-36051.160883666664,336.0,16384,8,18,894,2312853.695703125,0.06640625,-0.011213414387020748,70,0.00017249584197998047,938062.0,0.0003,0.008251827,0.2,-4.175631369650364,0.9677311778068542
-32480.510461518516,336.0,18432,9,18,1011,1708157.75390625,0.1224609375,-0.01789423656882718,80,-1.7881393432617188e-06,681399.25,0.0003,0.011062396,0.2,-4.138150797784329,0.9572811126708984
-30011.34238645,336.0,20480,10,18,1133,448215.21889648435,0.187255859375,-0.007925762012018823,90,-7.152557373046875e-07,244277.640625,0.0003,0.011912456,0.2,-4.075672107934952,0.9411230683326721
-27339.835666597017,336.0,22528,11,18,1251,806494.3579101562,0.024365234375,-0.006815198822005186,100,0.0010938644409179688,426008.375,0.0003,0.005949038,0.2,-4.0620883628726006,0.9374921917915344
-24966.999242164387,336.0,24576,12,18,1359,900829.01484375,0.087890625,-0.008723792267846874,110,4.1484832763671875e-05,380708.34375,0.0003,0.007181572,0.2,-4.028247556090355,0.9259548187255859
-22959.717587784813,336.0,26624,13,18,1473,666588.6432617188,0.040087890625,-0.007486853850423358,120,0.001348733901977539,410949.53125,0.0003,0.005568291,0.2,-4.011741825938225,0.9219092726707458
-20729.56843787059,336.0,28672,14,18,1584,937576.2904296875,0.0232421875,-0.005968001956352964,130,0.0052953362464904785,374574.09375,0.0003,0.0043394924,0.2,-3.9943997666239737,0.9169321060180664
-19241.46683067033,336.0,30720,15,18,1706,756459.4139648437,0.03544921875,-0.008210424197750399,140,0.006599605083465576,387017.71875,0.0003,0.006985663,0.2,-3.9833202570676804,0.9147619605064392
-17778.745409051546,336.0,32768,16,17,1823,637444.1458984375,0.082177734375,-0.010317706143541727,150,-0.0003924369812011719,311651.34375,0.0003,0.0069603752,0.2,-3.9649352870881556,0.9089065194129944
-14923.13759518,336.0,34816,17,17,1941,756758.043359375,0.033203125,-0.0065592169008596105,160,0.0067555904388427734,342095.34375,0.0003,0.00717191,0.2,-3.951449304074049,0.9052569270133972
-11652.820918149999,336.0,36864,18,17,2055,1322883.0578125,0.018310546875,-0.004980419990897644,170,0.006629467010498047,617981.875,0.0003,0.0049878773,0.2,-3.9374283358454703,0.9012663960456848
-8287.937059320002,336.0,38912,19,17,2166,1310642.776953125,0.04853515625,-0.0067286896941368465,180,0.004873692989349365,738015.875,0.0003,0.0068214606,0.2,-3.9228625908493995,0.896405041217804
