time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,train/clip_fraction,train/entropy_loss,train/std,train/approx_kl,train/n_updates,train/loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_range,train/learning_rate
1,2048,40774.454432,106,336.0,19,,,,,,,,,,,
2,4096,43757.006599249995,223,336.0,18,0.091552734375,-1.6166541162878274,0.431412935256958,0.008154657,4900,1209132.125,0.0,2912102.681640625,-0.00375246907788096,0.2,0.0003
3,6144,43509.24538944445,331,336.0,18,0.073388671875,-1.6209248073399067,0.43259263038635254,0.0064084,4910,1887389.5,0.0,3618015.61171875,-0.0044997147953836246,0.2,0.0003
4,8192,41721.57054858334,436,336.0,18,0.091064453125,-1.6288789853453636,0.434391587972641,0.008736474,4920,1690413.25,0.0,3013005.9875,-0.006544658943312243,0.2,0.0003
5,10240,41020.71836103334,548,336.0,18,0.089794921875,-1.6337359048426152,0.43489351868629456,0.006852012,4930,1326057.125,2.384185791015625e-07,2460582.5109375,-0.0046817003094474785,0.2,0.0003
6,12288,41510.516279,662,336.0,18,0.0537109375,-1.6383465331047773,0.43709591031074524,0.0056454903,4940,1291952.125,0.0,2614846.921875,-0.0033342183436616325,0.2,0.0003
7,14336,41472.56065142857,786,336.0,18,0.06328125,-1.6454676516354083,0.43761980533599854,0.00804292,4950,1541845.0,-1.1920928955078125e-07,3384953.65625,-0.003962939293705859,0.2,0.0003
8,16384,41169.82077129167,892,336.0,18,0.06572265625,-1.6501590140163898,0.4383411407470703,0.008213826,4960,1352012.0,0.0,2716996.404296875,-0.0036109200795181096,0.2,0.0003
9,18432,40429.99737198148,1006,336.0,18,0.075732421875,-1.654226529970765,0.43779075145721436,0.006190536,4970,1460574.875,0.0,2773178.24609375,-0.006221831806760747,0.2,0.0003
10,20480,40585.924211716665,1131,336.0,18,0.089208984375,-1.6516967132687568,0.4368944466114044,0.009924855,4980,1351743.625,0.0,2314315.03984375,-0.004818202635942725,0.2,0.0003
11,22528,41164.28591164179,1249,336.0,18,0.045361328125,-1.648416554555297,0.4359190762042999,0.0044851564,4990,1416662.625,0.0,3064538.265625,-0.0023290150202228688,0.2,0.0003
12,24576,40607.416930273976,1356,336.0,18,0.05673828125,-1.6440989304333926,0.43476927280426025,0.0060128374,5000,1526333.0,1.1920928955078125e-07,3580286.80078125,-0.005320202033908572,0.2,0.0003
13,26624,40505.381991607595,1473,336.0,18,0.10546875,-1.6458681724965571,0.4366617500782013,0.010630425,5010,1225233.25,1.1920928955078125e-07,2223497.46015625,-0.005405442760093138,0.2,0.0003
14,28672,40617.68650222353,1584,336.0,18,0.0572265625,-1.6459127623587846,0.43564853072166443,0.0056927153,5020,1643185.0,-1.1920928955078125e-07,2938017.787109375,-0.0032700034826120827,0.2,0.0003
15,30720,40860.590444615395,1703,336.0,18,0.080712890625,-1.6330125879496336,0.432219535112381,0.008704459,5030,1384027.5,0.0,2778972.409765625,-0.005058962055773009,0.2,0.0003
16,32768,40733.14579478351,1821,336.0,17,0.0833984375,-1.6265040077269077,0.43362340331077576,0.0073063024,5040,1732388.5,0.0,3817487.81484375,-0.006243958523555193,0.2,0.0003
17,34816,40862.93265116,1940,336.0,17,0.080322265625,-1.6207148291170597,0.43154504895210266,0.008054243,5050,1332537.875,-1.1920928955078125e-07,2644903.84375,-0.005088930207057274,0.2,0.0003
18,36864,40938.61572509,2053,336.0,17,0.074658203125,-1.608592763543129,0.43031612038612366,0.00926699,5060,2208921.0,0.0,3264375.90546875,-0.005145420043118065,0.2,0.0003
19,38912,40436.28675888001,2164,336.0,17,0.07646484375,-1.6157623834908008,0.4334758222103119,0.007477726,5070,1186395.75,0.0,2964906.58203125,-0.003535431010823231,0.2,0.0003
20,40960,40512.9258329,2275,336.0,17,0.069140625,-1.6204111710190774,0.4316743314266205,0.0077470746,5080,1240221.625,0.0,2404890.9140625,-0.004772796084580477,0.2,0.0003
