time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/iterations,train/std,train/clip_range,train/n_updates,train/learning_rate,train/explained_variance,train/clip_fraction,train/entropy_loss,train/loss,train/policy_gradient_loss,train/approx_kl,train/value_loss
79,25,336.0,-63631.90129850001,2048,1,,,,,,,,,,,
159,25,336.0,-56836.22901375,4096,2,0.9973554611206055,0.2,10,0.0003,7.68899917602539e-06,0.0802734375,-4.252958536148071,6684188.0,-0.01354460055299569,0.008970887,12614383.81875
252,24,336.0,-48619.68355972222,6144,3,0.9910767674446106,0.2,20,0.0003,-1.2874603271484375e-05,0.0828125,-4.238823989033699,3796621.5,-0.013552594820794184,0.009555269,6798846.91328125
331,24,336.0,-46696.589608250004,8192,4,0.9866304397583008,0.2,30,0.0003,4.029273986816406e-05,0.099072265625,-4.222057785093784,2117229.0,-0.016020614115404896,0.009596551,4313802.625
409,25,336.0,-41580.91032239999,10240,5,0.9805118441581726,0.2,40,0.0003,8.344650268554688e-06,0.04453125,-4.2064099162817,1949997.0,-0.007654870609985665,0.0064245807,5193184.45859375
486,25,336.0,-37998.10740830556,12288,6,0.9785583019256592,0.2,50,0.0003,7.033348083496094e-06,0.0966796875,-4.194190029799938,1208531.375,-0.011799567710841074,0.008232707,2209041.45234375
564,25,336.0,-34754.89921940476,14336,7,0.9656386375427246,0.2,60,0.0003,3.993511199951172e-06,0.109814453125,-4.168610790371895,621638.8125,-0.014547850891540292,0.008612852,1336648.00078125
658,24,336.0,-32616.10614008333,16384,8,0.9508131146430969,0.2,70,0.0003,-9.417533874511719e-06,0.1056640625,-4.125317643582821,1047502.25,-0.01568839087849483,0.010242755,1628972.75625
767,24,336.0,-29208.958102648146,18432,9,0.9407866597175598,0.2,80,0.0003,5.125999450683594e-06,0.105908203125,-4.085713951289653,804522.4375,-0.0145722177461721,0.009305902,1510657.6154296875
870,23,336.0,-26385.508998749996,20480,10,0.9273571372032166,0.2,90,0.0003,1.5497207641601562e-06,0.13369140625,-4.032853999733925,252993.4375,-0.013881661354389507,0.009481406,610467.5541015625
970,23,336.0,-23324.071066970148,22528,11,0.9228755831718445,0.2,100,0.0003,0.012661218643188477,0.088134765625,-4.018608964979649,341897.25,-0.013147654241038254,0.008265675,895989.6499023438
1058,23,336.0,-20666.525396410958,24576,12,0.9158799052238464,0.2,110,0.0003,0.014794528484344482,0.0359375,-3.999898812919855,655879.0,-0.006801469805941452,0.0067909556,973394.8612304687
1157,22,336.0,-17908.051002873417,26624,13,0.9057714343070984,0.2,120,0.0003,0.017669618129730225,0.071142578125,-3.967020212858915,560881.5625,-0.011070429979008622,0.008102971,986116.2765625
1245,23,336.0,-15391.108917094118,28672,14,0.8946642875671387,0.2,130,0.0003,0.0319591760635376,0.1091796875,-3.9311196215450765,530912.5,-0.012174337242322508,0.010222353,1041739.655859375
1334,23,336.0,-13320.730876472526,30720,15,0.8840540051460266,0.2,140,0.0003,0.019666433334350586,0.124169921875,-3.8918317086994647,869423.0,-0.015304678032407537,0.010106399,1335093.6783203124
1423,23,336.0,-11277.49218571134,32768,16,0.877131462097168,0.2,150,0.0003,0.0163915753364563,0.047607421875,-3.8597840271890163,595427.75,-0.008615182130597532,0.0056983586,1326276.4517578124
1508,23,336.0,-7628.887094450001,34816,17,0.8727276921272278,0.2,160,0.0003,0.020350217819213867,0.038134765625,-3.841831113398075,605689.5625,-0.0055726775754010305,0.006109082,1396168.6345703125
1596,23,336.0,-2344.31300945,36864,18,0.8690719604492188,0.2,170,0.0003,0.012096703052520752,0.0263671875,-3.8257376708090307,1022557.125,-0.007494074835267384,0.005123634,2201863.623046875
1681,23,336.0,927.77787276,38912,19,0.8655136227607727,0.2,180,0.0003,0.01378101110458374,0.024755859375,-3.811357581615448,1053560.25,-0.0062038561314693656,0.00506241,2103351.819140625
1769,23,336.0,5186.90137831,40960,20,0.8605418801307678,0.2,190,0.0003,0.006486177444458008,0.03798828125,-3.7953430749475956,973735.1875,-0.006246198386361357,0.00549672,2248447.50703125
1858,23,336.0,8706.327585539999,43008,21,0.8573926091194153,0.2,200,0.0003,0.00972825288772583,0.02939453125,-3.7808841332793235,1392040.125,-0.004920517838763771,0.0055510076,2859018.162890625
1956,23,336.0,11624.428108319999,45056,22,0.85341477394104,0.2,210,0.0003,0.006334066390991211,0.015673828125,-3.767125402390957,1685086.25,-0.003918283998791594,0.0038070944,3254868.47265625
2054,22,336.0,13657.230479209997,47104,23,0.8497758507728577,0.2,220,0.0003,0.014979183673858643,0.0896484375,-3.7543606467545034,1542042.25,-0.002347278755041771,0.007809368,2715873.2
2149,22,336.0,15414.408752400002,49152,24,0.8440890908241272,0.2,230,0.0003,0.009084880352020264,0.03154296875,-3.7357597909867764,910167.75,-0.005659171390288975,0.005461518,2229408.924609375
2266,22,336.0,17471.46483044,51200,25,0.841389000415802,0.2,240,0.0003,0.01054835319519043,0.008935546875,-3.7217470057308675,4066389.75,-0.0025666699184512254,0.0036332556,6238568.97734375
2371,22,336.0,18441.53450505,53248,26,0.8379084467887878,0.2,250,0.0003,0.010606884956359863,0.04345703125,-3.710503927618265,1250653.0,-0.005959288049052702,0.005526798,2172707.422265625
2473,22,336.0,19494.928865569997,55296,27,0.8354076743125916,0.2,260,0.0003,0.01784980297088623,0.0236328125,-3.6971400938928127,3143131.5,-0.006628178295795806,0.004085915,4329987.660546875
2577,22,336.0,19494.56042665,57344,28,0.8377432227134705,0.2,270,0.0003,0.014841556549072266,0.02275390625,-3.697103054821491,1104629.375,-0.004335965826612664,0.005000716,6281886.576953125
2694,22,336.0,19977.42581464,59392,29,0.8370891213417053,0.2,280,0.0003,0.015259146690368652,0.043017578125,-3.697793300449848,2641477.0,-0.0057367527813767085,0.004913269,7959977.10703125
2791,22,336.0,19529.20871165,61440,30,0.8343663215637207,0.2,290,0.0003,0.01693558692932129,0.037548828125,-3.691957428306341,4880415.0,-0.00447466620389605,0.0053878864,7675196.4796875
2893,21,336.0,19699.149256239998,63488,31,0.8310368061065674,0.2,300,0.0003,0.019131720066070557,0.03330078125,-3.681083112210035,5604086.5,-0.006417691185197328,0.0049047284,11790961.43828125
2992,21,336.0,20427.67773941,65536,32,0.8245888352394104,0.2,310,0.0003,0.03143715858459473,0.028466796875,-3.661426781862974,1319138.875,-0.004797399328526808,0.004938082,2303888.31640625
3110,21,336.0,19904.71244209,67584,33,0.8211393356323242,0.2,320,0.0003,0.028577685356140137,0.043896484375,-3.644611668586731,1801049.75,-0.00739447572559584,0.006845613,4187331.98125
3248,21,336.0,19154.17714846,69632,34,0.8211261630058289,0.2,330,0.0003,0.009672284126281738,0.0609375,-3.638669053465128,6131104.0,-0.006706103728356538,0.006580925,22553578.24453125
3384,21,336.0,19427.41310495,71680,35,0.8215532302856445,0.2,340,0.0003,0.020373940467834473,0.037353515625,-3.6395306669175627,3006317.25,-0.006821387566742487,0.00499087,9262268.871875
3521,20,336.0,18663.31128929,73728,36,0.8159845471382141,0.2,350,0.0003,0.039344608783721924,0.034228515625,-3.630626720935106,2096394.0,-0.004458458651788533,0.0059101656,3402513.04453125
3646,20,336.0,18964.968048969997,75776,37,0.8147222399711609,0.2,360,0.0003,0.022657454013824463,0.03935546875,-3.617155620455742,4405129.0,-0.005644845752976834,0.0051733917,6645959.20234375
3742,20,336.0,18822.60620113,77824,38,0.8078710436820984,0.2,370,0.0003,0.02960294485092163,0.0427734375,-3.602296207100153,2227754.0,-0.0060004926126566716,0.0060451124,4306728.33203125
3830,20,336.0,18754.354966810002,79872,39,0.805444061756134,0.2,380,0.0003,0.023580312728881836,0.00888671875,-3.5852594800293445,3146006.75,-0.0032022711042372976,0.003226404,6244738.34765625
3914,20,336.0,19614.41853661,81920,40,0.8018562197685242,0.2,390,0.0003,0.03505450487136841,0.073095703125,-3.5729864425957203,1859259.75,-0.004213198616344016,0.014332081,3553444.30859375
4002,20,336.0,19312.49608125,83968,41,0.8032894730567932,0.2,400,0.0003,0.026998281478881836,0.067578125,-3.5682785026729107,3867963.25,-0.009428776753338752,0.006707692,6385850.94296875
4080,21,336.0,18883.091338150003,86016,42,0.8028648495674133,0.2,410,0.0003,0.03833436965942383,0.03779296875,-3.5686630375683306,3003757.5,-0.006846352004504297,0.0057866275,6125157.628125
4161,21,336.0,18673.70907333,88064,43,0.8010022044181824,0.2,420,0.0003,0.033015429973602295,0.032275390625,-3.5641616731882095,3445500.25,-0.0057618731603724885,0.0057107545,10265822.5703125
4240,21,336.0,18249.29220149,90112,44,0.8001666069030762,0.2,430,0.0003,0.03850287199020386,0.03994140625,-3.558738522976637,2829725.5,-0.0006757543873391114,0.007931263,6875261.46328125
4318,21,336.0,16836.64986971,92160,45,0.8000509142875671,0.2,440,0.0003,0.027699649333953857,0.01748046875,-3.5571657687425615,5068222.0,-0.0036858417275652754,0.004673922,20523479.778125
4396,21,336.0,14749.343053740002,94208,46,0.7978456616401672,0.2,450,0.0003,0.020809650421142578,0.005078125,-3.5542714700102804,28563450.0,-0.0023407821339787916,0.0020062702,35339366.3953125
4474,21,336.0,13702.57549382,96256,47,0.7997700572013855,0.2,460,0.0003,0.020730555057525635,0.000634765625,-3.552679018676281,57390200.0,-0.0018715057856752537,0.0011647497,49624768.18125
4556,21,336.0,12594.469553629999,98304,48,0.798620879650116,0.2,470,0.0003,0.029517710208892822,0.070751953125,-3.554125229269266,5964607.5,-0.0070731653308030214,0.009136979,17873544.39921875
