time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,train/std,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/explained_variance,train/entropy_loss,train/loss
83,2048,336.0,1,-14581.585119166666,24,,,,,,,,,,,
169,4096,336.0,2,-12853.546801249999,24,1.0002211332321167,10,-0.006345998731558211,0.0044887485,2009650.8365234374,0.031201171875,0.2,0.0003,-3.600120544433594e-05,-4.2564505115151405,1056510.625
257,6144,336.0,3,-10958.692167,23,1.0034133195877075,20,-0.00936563475697767,0.006565168,1569484.18828125,0.049853515625,0.2,0.0003,-0.0005949735641479492,-4.263510729372501,841368.8125
345,8192,336.0,4,-9580.149885875,23,1.0056074857711792,30,-0.00659467291116016,0.004483901,1149790.8521484374,0.04560546875,0.2,0.0003,-0.0002516508102416992,-4.270423886179924,631350.3125
433,10240,336.0,5,-9050.595338866668,23,1.0048245191574097,40,-0.005771019723033533,0.00500423,1266689.601171875,0.047509765625,0.2,0.0003,-9.59634780883789e-05,-4.276846899092197,597037.1875
520,12288,336.0,6,-7817.422628944444,23,0.9977572560310364,50,-0.00821071737955208,0.0058867754,1406082.91953125,0.052783203125,0.2,0.0003,0.00014579296112060547,-4.257945735752583,774442.125
610,14336,336.0,7,-7177.685011595238,23,0.9895676970481873,60,-0.007830356172053143,0.005438433,1147959.495703125,0.050146484375,0.2,0.0003,0.00030875205993652344,-4.236981491744518,627581.5
700,16384,336.0,8,-6662.419467916666,23,0.9885210990905762,70,-0.007212710946623702,0.005931316,1236712.07578125,0.044140625,0.2,0.0003,0.006021022796630859,-4.223591089248657,598389.125
790,18432,336.0,9,-6208.901783870369,23,0.9840921759605408,80,-0.006297036110481713,0.0047299988,1116245.2484375,0.02744140625,0.2,0.0003,0.0077773332595825195,-4.215430167317391,643934.8125
881,20480,336.0,10,-5649.213971866667,23,0.9774840474128723,90,-0.005619607404514682,0.0048259785,1036086.6859375,0.023779296875,0.2,0.0003,0.012264907360076904,-4.197419959306717,500286.34375
971,22528,336.0,11,-5017.365965313434,23,0.9724029898643494,100,-0.008278268310823478,0.0055052177,992527.2044921875,0.04482421875,0.2,0.0003,0.015217900276184082,-4.179061940312385,481559.03125
1061,24576,336.0,12,-4527.194051424658,23,0.9784519076347351,110,-0.0044552821782417595,0.003339042,1149273.4708984375,0.016162109375,0.2,0.0003,0.02113950252532959,-4.18021105825901,606734.75
1151,26624,336.0,13,-3996.197595886076,23,0.9792885780334473,120,-0.0058392954000737515,0.005602899,1114836.1396484375,0.047216796875,0.2,0.0003,0.02426248788833618,-4.19430488049984,542062.25
1244,28672,336.0,14,-3513.885998247059,23,0.9701264500617981,130,-0.005174293214076897,0.0058109164,1092146.29296875,0.030224609375,0.2,0.0003,0.03198617696762085,-4.178549645841121,555844.75
1338,30720,336.0,15,-2797.0175971648355,22,0.9704049229621887,140,-0.007736274683702504,0.0071029523,977681.366015625,0.0591796875,0.2,0.0003,0.03896409273147583,-4.165323920547962,575025.4375
1432,32768,336.0,16,-2169.7720940412373,22,0.9646172523498535,150,-0.005580077340709977,0.0045695687,1110074.310546875,0.034375,0.2,0.0003,0.04192996025085449,-4.157236178219319,466777.28125
1525,34816,336.0,17,-1378.93896198,22,0.957495391368866,160,-0.006888876811717637,0.005886914,1031775.4595703125,0.040625,0.2,0.0003,0.05031043291091919,-4.134784932434559,604148.0625
1616,36864,336.0,18,-26.944487700000128,22,0.9575715065002441,170,-0.005864974764699582,0.005485151,1132835.0419921875,0.04140625,0.2,0.0003,0.045991599559783936,-4.12766736894846,547092.75
1706,38912,336.0,19,1140.3458715999998,22,0.9532739520072937,180,-0.008141127081762534,0.0061873924,1203282.221484375,0.052392578125,0.2,0.0003,0.05476081371307373,-4.117451785504818,654949.75
1798,40960,336.0,20,1957.9901897299999,22,0.9451825022697449,190,-0.006797556704259478,0.0050911442,1361920.2845703126,0.033740234375,0.2,0.0003,0.05168282985687256,-4.096482037007808,830505.0625
1888,43008,336.0,21,3064.10620174,22,0.9475821852684021,200,-0.005302802346704993,0.004398144,1330979.7001953125,0.027197265625,0.2,0.0003,0.05433487892150879,-4.089791932702065,721196.6875
1978,45056,336.0,22,3901.85134353,22,0.9442552924156189,210,-0.006495865742908791,0.0048432765,1489796.3912109374,0.037109375,0.2,0.0003,0.05834817886352539,-4.088866624236107,580381.0625
2070,47104,336.0,23,4753.0968514999995,22,0.9353832602500916,220,-0.006078684028761927,0.0043841386,1245451.0556640625,0.03212890625,0.2,0.0003,0.05915170907974243,-4.067289836704731,779342.5625
2164,49152,336.0,24,5765.385600299999,22,0.9271692633628845,230,-0.00770956550113624,0.0053093685,1320941.506640625,0.039208984375,0.2,0.0003,0.06258541345596313,-4.039963501691818,611819.0625
2258,51200,336.0,25,6811.16120614,22,0.9247164726257324,240,-0.005086489010136574,0.0044198986,1402185.930859375,0.0212890625,0.2,0.0003,0.07046908140182495,-4.023881770670414,588886.0625
2351,53248,336.0,26,7724.804467270001,22,0.9199526906013489,250,-0.002204592638008762,0.0052216128,1361837.51953125,0.042724609375,0.2,0.0003,0.07706332206726074,-4.012825694680214,755024.5625
2442,55296,336.0,27,8649.22591272,22,0.9186067581176758,260,-0.007282731511804741,0.0053942893,1447150.03046875,0.03505859375,0.2,0.0003,0.06008368730545044,-4.002269453555345,755203.0
2535,57344,336.0,28,9652.57411966,22,0.9113550186157227,270,-0.007594662091287318,0.0059086713,1460263.604296875,0.03935546875,0.2,0.0003,0.0617406964302063,-3.9870203860104083,799862.0
