time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates
336,1,336.0,30,-63931.487675,11,,,,
672,2,336.0,64,-29270.862761999997,10,594208018474.6666,0.001,-278228.9008207775,336
1008,3,336.0,100,-17615.936891999998,10,44197044339.809525,0.001,-321342.8489583333,672
1344,4,336.0,135,-11513.135459499998,9,36481237656.38095,0.001,-310475.3421688988,1008
1680,5,336.0,168,-7552.697086799997,9,27268894345.142857,0.001,-283053.8929501488,1344
2016,6,336.0,202,-5318.259596666664,9,21445115120.761906,0.001,-238695.41164434524,1680
2352,7,336.0,234,-3271.204341857141,10,16485350177.52381,0.001,-220315.09263392858,2016
2688,8,336.0,267,-1261.856851749999,10,14918133540.571428,0.001,-205295.01037016368,2352
3024,9,336.0,302,-332.3479754444435,10,10456754980.571428,0.001,-193714.06384858632,2688
3360,10,336.0,335,272.54871220000086,10,9449562989.714285,0.001,-191176.5435267857,3024
3696,11,336.0,368,934.0488471818189,10,9165778838.095238,0.001,-176072.91476004463,3360
4032,12,336.0,400,1422.077472333334,10,6213590704.761905,0.001,-165702.37072172618,3696
4368,13,336.0,434,1726.614954384616,10,7911346238.476191,0.001,-165763.85570126487,4032
4704,14,336.0,468,1967.6001206428577,10,5909828790.095238,0.001,-164506.71177455358,4368
5040,15,336.0,503,2447.430978733334,10,4344103541.333333,0.001,-159369.67164248513,4704
5376,16,336.0,541,2855.1615058125,9,3876833863.2380953,0.001,-155859.88974144345,5040
5712,17,336.0,575,3128.5816851764707,9,3058382311.2380953,0.001,-150199.38636997767,5376
6048,18,336.0,609,3137.344084888889,9,2624562611.428571,0.001,-147001.67429315476,5712
6384,19,336.0,644,3289.5486938421054,9,2378168733.3333335,0.001,-142281.53059895834,6048
6720,20,336.0,678,3300.5269636999997,9,2018217693.3333333,0.001,-138685.17136346726,6384
7056,21,336.0,710,3368.624840047619,9,2193883744.952381,0.001,-133816.0623139881,6720
7392,22,336.0,743,3218.622228863636,9,1293898592.0,0.001,-130993.38974144345,7056
7728,23,336.0,780,3407.241390869565,9,1123617960.5714285,0.001,-127382.78650483632,7392
8064,24,336.0,815,3553.2053573333337,9,1114521783.9047618,0.001,-125848.72019159226,7728
8400,25,336.0,852,3747.98824344,9,889433805.7142857,0.001,-124159.54013206845,8064
8736,26,336.0,891,3833.9130215,9,870338620.6666666,0.001,-120942.21135602679,8400
9072,27,336.0,931,4010.9591696666666,9,678089393.1428572,0.001,-120318.84035528274,8736
9408,28,336.0,967,4075.9683979285714,9,654579344.6190476,0.001,-118108.49432663691,9072
9744,29,336.0,1001,4102.141169724138,9,509676874.9047619,0.001,-116376.13197544643,9408
10080,30,336.0,1035,4139.780284866667,9,411860902.0,0.001,-115329.25065104167,9744
10416,31,336.0,1068,4278.498072193549,9,378322628.61904764,0.001,-112988.30171130953,10080
10752,32,336.0,1102,4521.69803103125,9,380329150.7619048,0.001,-110841.56040736607,10416
11088,33,336.0,1134,4743.418118666667,9,294393977.8333333,0.001,-109787.55966331845,10752
11424,34,336.0,1161,4843.8830591176475,9,263789134.35714287,0.001,-108307.89773995536,11088
11760,35,336.0,1191,4810.874671628572,9,218083539.5952381,0.001,-106598.38164992559,11424
12096,36,336.0,1220,4841.045815416667,9,180634512.1547619,0.001,-104084.30561755953,11760
12432,37,336.0,1250,4840.673423594595,9,161852472.26190478,0.001,-102826.79692150297,12096
12768,38,336.0,1279,4678.414418973685,9,154962188.26190478,0.001,-101097.38927641368,12432
13104,39,336.0,1311,4761.164604025642,9,115539237.59523809,0.001,-98880.27162388393,12768
13440,40,336.0,1340,4760.944296625001,10,130144753.9404762,0.001,-96931.74242001488,13104
13776,41,336.0,1367,4797.489287902439,10,113854036.79166667,0.001,-95736.91857328868,13440
14112,42,336.0,1393,4825.722587595238,10,110579101.30654761,0.001,-94732.96103050595,13776
14448,43,336.0,1422,4845.653314930233,10,92229876.59523809,0.001,-93659.69652157738,14112
14784,44,336.0,1451,4836.314387113637,10,93184382.75892857,0.001,-92607.07040550595,14448
15120,45,336.0,1479,4902.5677292,10,90175771.04761904,0.001,-91318.10453869047,14784
15456,46,336.0,1509,4954.6653239347825,10,92982585.27232143,0.001,-89768.52711123512,15120
15792,47,336.0,1534,4999.140093382979,10,77115944.46726191,0.001,-88044.69903273809,15456
16128,48,336.0,1565,5032.656511437501,10,69230962.8095238,0.001,-86548.29092261905,15792
16464,49,336.0,1593,5079.067244448981,10,73110991.37648809,0.001,-85223.31654575893,16128
16800,50,336.0,1622,5148.607018840001,10,78951582.4970238,0.001,-83931.63955543155,16464
17136,51,336.0,1653,5210.959692529413,10,73979661.20089285,0.001,-82747.52557663691,16800
17472,52,336.0,1688,5214.221686269231,10,79109745.31845239,0.001,-81494.84500558036,17136
17808,53,336.0,1718,5238.203345113208,10,67146896.7686012,0.001,-80430.02157738095,17472
18144,54,336.0,1750,5289.483313425927,10,64348352.09970238,0.001,-79193.56366257441,17808
18480,55,336.0,1779,5292.22848569091,10,67244763.41257441,0.001,-78018.91741071429,18144
18816,56,336.0,1812,5329.715883125,10,68002215.58258928,0.001,-76707.68870907738,18480
19152,57,336.0,1842,5309.135467649123,10,60880066.263020836,0.001,-74877.22395833333,18816
19488,58,336.0,1872,5326.819747051724,10,57227596.5625,0.001,-73712.48088727679,19152
19824,59,336.0,1903,5432.595233423728,10,54799943.88876488,0.001,-72366.36616443453,19488
20160,60,336.0,1935,5458.13873375,10,49561067.05822173,0.001,-71030.75009300595,19824
20496,61,336.0,1967,5515.863695213114,10,43901946.030319944,0.001,-69938.96279761905,20160
20832,62,336.0,1996,5519.2209318548375,10,47048642.94140625,0.001,-69019.18722098214,20496
21168,63,336.0,2029,5506.459346888888,10,48738746.32068452,0.001,-68037.31663876488,20832
21504,64,336.0,2060,5588.790181703125,10,40098723.75325521,0.001,-67139.412109375,21168
21840,65,336.0,2089,5574.800406307692,10,42244039.653087795,0.001,-66226.68566313243,21504
22176,66,336.0,2119,5562.29944130303,10,36206000.420944944,0.001,-65303.522298177086,21840
22512,67,336.0,2150,5580.8733221194025,10,55866814.82440476,0.001,-64212.246303013395,22176
22848,68,336.0,2181,5536.99604532353,10,57162598.10119048,0.001,-62257.161900111605,22512
23184,69,336.0,2212,5556.92074757971,10,56703346.572916664,0.001,-57671.668131510414,22848
23520,70,336.0,2241,5589.094301057143,10,32264172.16294643,0.001,-54566.33442615328,23184
23856,71,336.0,2271,5568.985494605634,10,149589222.2094494,0.001,-50795.00511532738,23520
24192,72,336.0,2298,5568.231600111111,10,59637051.2797619,0.001,-43652.37488374256,23856
24528,73,336.0,2326,5590.448197972602,10,141024505.0297619,0.001,-40388.23801967076,24192
