rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates
336.0,13,336,25,2686.047606,1,,,,
336.0,12,672,55,-27447.773113,2,0.001,224028.87787155877,56821970578.28571,336
336.0,11,1008,85,-35555.36517766667,3,0.001,154059.61108434768,7024803427.047619,672
336.0,11,1344,114,-84820.76421425,4,0.001,136313.20359002976,6593398961.523809,1008
336.0,11,1680,144,-81924.1817912,5,0.001,113099.21298363095,5626593972.571428,1344
336.0,11,2016,172,-79633.60877583333,6,0.001,103560.98079427083,5254776173.714286,1680
336.0,11,2352,202,-71804.60072014286,7,0.001,599995.9983491444,2432882077220.5713,2016
336.0,11,2688,233,-74208.419605625,8,0.001,648699.7452566965,1753383445278.476,2352
336.0,11,3024,264,-78172.89639333333,9,0.001,852278.0309709822,2059968254537.1428,2688
336.0,11,3360,294,-78174.9422398,10,0.001,1051429.2646949405,2340258391125.3335,3024
336.0,11,3696,324,-73064.86277718181,11,0.001,1116227.68359375,2318207704502.857,3360
336.0,11,4032,352,-73529.81184233334,12,0.001,1218201.1041666667,2067260280832.0,3696
336.0,11,4368,381,-81164.10854669231,13,0.001,1320155.740327381,1682561613433.9048,4032
336.0,11,4704,411,-77519.91842885714,14,0.001,1453898.5230654762,1474252905398.8572,4368
336.0,11,5040,441,-65313.54324006667,15,0.001,1360885.357514881,1413833428943.238,4704
336.0,11,5376,470,-75512.98221375,16,0.001,1327469.6041666667,1221843198390.8572,5040
336.0,11,5712,499,-68173.19075335294,17,0.001,1733184.6183035714,1130360203897.9048,5376
336.0,11,6048,528,-78637.06049661111,18,0.001,1627477.7879464286,1013714132528.762,5712
336.0,11,6384,556,-75174.68237263158,19,0.001,1651761.486235119,1003319615049.1428,6048
336.0,11,6720,586,-73512.3952773,20,0.001,1569450.068452381,835361950134.8572,6384
336.0,11,7056,618,-72319.3181987619,21,0.001,1582117.519345238,805788768402.2858,6720
336.0,11,7392,649,-72424.28276254545,22,0.001,1515496.3991815476,693068924099.0476,7056
336.0,11,7728,680,-75245.46977834783,23,0.001,1620134.1316964286,682513740141.7142,7392
336.0,11,8064,711,-75610.97288875,24,0.001,1614096.7124255951,634522343716.5714,7728
336.0,11,8400,742,-75031.22364832,25,0.001,1650757.6186755951,696020770718.4762,8064
336.0,11,8736,771,-70208.37079192308,26,0.001,1704110.4449404762,603127201328.762,8400
336.0,11,9072,800,-70632.46766414815,27,0.001,1635516.9635416667,520967067379.8095,8736
336.0,11,9408,829,-71025.68595575,28,0.001,1677037.706845238,562253441657.9048,9072
336.0,11,9744,858,-71350.53131248277,29,0.001,1643192.8705357143,455636424679.619,9408
336.0,11,10080,886,-71912.55019336667,30,0.001,1664870.4378720238,440426856448.0,9744
336.0,11,10416,916,-70939.67552058065,31,0.001,1638507.3723958333,497119501360.7619,10080
336.0,11,10752,946,-67580.89795490625,32,0.001,1624120.486607143,431099005318.0952,10416
336.0,11,11088,975,-64063.383539515155,33,0.001,1636346.7663690476,465638049840.7619,10752
336.0,11,11424,1003,-64323.117123558826,34,0.001,1571450.017857143,415741475644.9524,11088
336.0,11,11760,1032,-64219.927305085715,35,0.001,1618809.120907738,369516923562.6667,11424
336.0,11,12096,1061,-63151.70419566667,36,0.001,1573417.9769345238,350600921222.0952,11760
336.0,11,12432,1092,-63101.0806192973,37,0.001,1559906.4211309524,367260190086.0952,12096
336.0,11,12768,1121,-64099.607941605274,38,0.001,1547864.845982143,347139925601.5238,12432
336.0,11,13104,1150,-64378.29747782052,39,0.001,1563351.2254464286,336023743219.8095,12768
336.0,11,13440,1179,-66743.67753429999,40,0.001,1533969.8779761905,333203270412.1905,13104
336.0,11,13776,1208,-65844.14263790243,41,0.001,1523295.1376488095,311474995151.2381,13440
336.0,11,14112,1236,-64765.57093090477,42,0.001,1545477.4691220238,286709638485.3333,13776
336.0,11,14448,1266,-63147.670544046516,43,0.001,1535143.8508184524,261233205552.7619,14112
336.0,11,14784,1303,-59932.10605077273,44,0.001,1514406.0710565476,270158018645.33334,14448
336.0,11,15120,1337,-61682.707731444454,45,0.001,1476238.830357143,246203178947.0476,14784
336.0,11,15456,1371,-64907.47263563044,46,0.001,1464308.3444940476,261439002648.38095,15120
336.0,11,15792,1404,-63687.50345387235,47,0.001,1491387.4136904762,232600115114.66666,15456
336.0,11,16128,1436,-64033.087305104156,48,0.001,1478102.9010416667,205578087948.1905,15792
336.0,11,16464,1465,-62920.45070175509,49,0.001,1464553.212797619,217356656871.61905,16128
336.0,11,16800,1494,-62652.11324749999,50,0.001,1445076.7194940476,207682539971.0476,16464
336.0,11,17136,1524,-63601.40201041175,51,0.001,1401076.2001488095,223349613007.2381,16800
336.0,11,17472,1554,-64685.60205359614,52,0.001,1400392.3236607143,187931172217.90475,17136
336.0,11,17808,1583,-65371.63067271697,53,0.001,1397660.2388392857,200811741848.38095,17472
336.0,11,18144,1614,-66197.79611103704,54,0.001,1374096.6220238095,179614137612.1905,17808
336.0,11,18480,1643,-68117.5386142909,55,0.001,1386734.9129464286,187103484940.1905,18144
336.0,11,18816,1674,-66122.01258835713,56,0.001,1362521.5223214286,160890597912.38095,18480
336.0,11,19152,1704,-66273.56108807017,57,0.001,1337073.4739583333,155723437641.14285,18816
336.0,11,19488,1734,-64500.89267998275,58,0.001,1348878.5398065476,156066596656.7619,19152
336.0,11,19824,1763,-65844.74702515254,59,0.001,1350293.2611607143,151754043404.1905,19488
336.0,11,20160,1793,-66531.78511693333,60,0.001,1321398.3742559524,137640577194.66666,19824
336.0,11,20496,1822,-66866.33301432786,61,0.001,1310603.636904762,142697653016.38095,20160
336.0,11,20832,1851,-64060.55504674193,62,0.001,1314214.2857142857,126089946380.19048,20496
336.0,11,21168,1880,-62808.77722609523,63,0.001,1279259.7336309524,125392044269.71428,20832
336.0,11,21504,1910,-62780.93584575,64,0.001,1254550.2429315476,125871207119.2381,21168
336.0,11,21840,1940,-65855.67573015385,65,0.001,1256252.6670386905,115364572525.71428,21504
336.0,11,22176,1969,-66480.64549974242,66,0.001,1373068.0078125,143302107648.0,21840
336.0,11,22512,1998,-66803.28979038805,67,0.001,1466983.5558035714,167005189924.57144,22176
336.0,11,22848,2028,-67451.78864530881,68,0.001,1593044.9538690476,172186660681.14285,22512
336.0,11,23184,2057,-68663.44080801448,69,0.001,1656588.2819940476,213800962310.09525,22848
336.0,11,23520,2086,-69813.18769221428,70,0.001,1797176.1082589286,178073537206.85715,23184
336.0,11,23856,2115,-71147.54677760563,71,0.001,1865741.1517857143,165655001563.42856,23520
336.0,11,24192,2145,-72791.02590654166,72,0.001,1960624.232142857,178312877970.2857,23856
336.0,11,24528,2174,-72961.45574875342,73,0.001,2016003.46875,233096208121.90475,24192
336.0,11,24864,2204,-73465.07825055406,74,0.001,2093046.1875,218057948160.0,24528
336.0,11,25200,2233,-74175.74350957332,75,0.001,2204707.798363095,208944542524.9524,24864
336.0,11,25536,2263,-74392.20649897368,76,0.001,2258001.9270833335,190692250221.7143,25200
336.0,11,25872,2292,-75756.19006807792,77,0.001,2263143.7998511903,170463894905.90475,25536
336.0,11,26208,2322,-76583.36783094873,78,0.001,2379243.9196428573,195790407765.33334,25872
336.0,11,26544,2351,-77473.70426898735,79,0.001,2462834.104910714,180861365967.2381,26208
336.0,11,26880,2381,-77712.0653078125,80,0.001,2453675.1116071427,233371856408.38095,26544
336.0,11,27216,2410,-79074.46956643209,81,0.001,2533835.775297619,168627910351.2381,26880
336.0,11,27552,2439,-78805.41505974389,82,0.001,2605039.5379464286,177796250300.9524,27216
336.0,11,27888,2468,-79845.4706343012,83,0.001,2635737.4248511903,192299824024.38095,27552
336.0,11,28224,2498,-82481.35180985714,84,0.001,2674068.3757440476,208686410971.42856,27888
336.0,11,28560,2528,-83669.94351867058,85,0.001,2736455.7566964286,177155331242.66666,28224
336.0,11,28896,2558,-84785.52719170929,86,0.001,2805206.0691964286,217612590982.09525,28560
336.0,11,29232,2587,-85812.15221383907,87,0.001,2824343.9895833335,198185909278.4762,28896
336.0,11,29568,2617,-86316.52138668182,88,0.001,2893427.8854166665,212716771413.33334,29232
336.0,11,29904,2647,-86619.69024097754,89,0.001,2884834.639136905,222809417411.0476,29568
336.0,11,30240,2676,-86392.70969157778,90,0.001,2934576.164434524,206209261147.42856,29904
336.0,11,30576,2706,-86651.95623475824,91,0.001,2943870.6875,154992022881.5238,30240
336.0,11,30912,2735,-86430.2915708913,92,0.001,2956914.9479166665,150664573519.2381,30576
336.0,11,31248,2765,-86786.13896801075,93,0.001,2973558.144345238,217921468629.33334,30912
336.0,11,31584,2795,-87516.03728141489,94,0.001,3026023.4866071427,166300859367.61905,31248
336.0,11,31920,2824,-88027.16899315789,95,0.001,3121946.668154762,194567736972.1905,31584
336.0,11,32256,2854,-87841.5660240625,96,0.001,3079751.2663690476,234420402017.5238,31920
336.0,11,32592,2885,-86999.85073969071,97,0.001,3076562.8258928573,232404468601.90475,32256
336.0,11,32928,2914,-86996.97435858163,98,0.001,3125985.470238095,185435140065.5238,32592
336.0,11,33264,2944,-87525.52618667677,99,0.001,3086643.632440476,213292904344.38095,32928
336.0,11,33600,2973,-88086.38990407,100,0.001,3165526.7023809524,160283075303.61905,33264
336.0,11,33936,3003,-89425.82430146002,101,0.001,3162649.337797619,143703086049.5238,33600
336.0,11,34272,3032,-90646.10975714,102,0.001,3193662.7901785714,177627473481.14285,33936
336.0,11,34608,3061,-92366.66011425,103,0.001,3172207.404761905,175521625648.7619,34272
336.0,11,34944,3091,-90798.84888949999,104,0.001,3183582.6711309524,205607030272.0,34608
336.0,11,35280,3121,-92642.70952466,105,0.001,3205047.019345238,174504191597.7143,34944
336.0,11,35616,3151,-91948.25735009,106,0.001,3241135.831845238,182997133836.1905,35280
336.0,11,35952,3180,-93388.02054004998,107,0.001,3240804.287202381,151298332007.61905,35616
336.0,11,36288,3210,-92694.63177436998,108,0.001,3191668.367559524,179656902363.42856,35952
336.0,11,36624,3240,-93215.84579547,109,0.001,3197056.5595238097,194194128457.14285,36288
336.0,11,36960,3269,-93610.11251170999,110,0.001,3207355.011904762,183145092333.7143,36624
336.0,11,37296,3298,-94724.85002234999,111,0.001,3213164.9032738097,160722424771.0476,36960
336.0,11,37632,3328,-94134.83616836999,112,0.001,3206081.242559524,177557256313.90475,37296
336.0,11,37968,3358,-93822.48013896,113,0.001,3170498.087797619,159443674069.33334,37632
336.0,11,38304,3388,-94972.12635968,114,0.001,3201144.251488095,125571146560.0,37968
336.0,11,38640,3417,-97349.82802002999,115,0.001,3194052.3229166665,178755261016.38095,38304
336.0,11,38976,3446,-97571.08710256,116,0.001,3178472.3586309524,160904858322.2857,38640
336.0,11,39312,3477,-99375.46259205001,117,0.001,3220973.995535714,165214396873.14285,38976
336.0,11,39648,3506,-98831.8383866,118,0.001,3177711.220238095,128862550311.61905,39312
336.0,11,39984,3536,-100093.81542325,119,0.001,3189007.5260416665,132223302012.95238,39648
336.0,11,40320,3567,-101185.17170751002,120,0.001,3159512.4553571427,178241275641.90475,39984
336.0,11,40656,3597,-101620.35827664,121,0.001,3185183.1458333335,146637208530.2857,40320
336.0,11,40992,3626,-101770.63930850002,122,0.001,3201333.1160714286,129966214829.71428,40656
336.0,11,41328,3656,-100593.95212885,123,0.001,3182572.4523809524,144168532074.66666,40992
336.0,11,41664,3686,-100102.89007084999,124,0.001,3157863.5148809524,152103082581.33334,41328
336.0,11,42000,3716,-100574.68497526,125,0.001,3100141.40625,156218405549.7143,41664
336.0,11,42336,3745,-101126.97055824,126,0.001,3173419.4598214286,136155916096.0,42000
336.0,11,42672,3775,-102163.61044409,127,0.001,3131735.8333333335,154935857392.7619,42336
336.0,11,43008,3804,-102272.36028148,128,0.001,3088532.063988095,113859261348.57143,42672
336.0,11,43344,3835,-103030.62459203001,129,0.001,3096334.8214285714,133903122008.38095,43008
336.0,11,43680,3866,-103538.85511334997,130,0.001,3073432.788690476,120852041718.85715,43344
336.0,11,44016,3895,-104688.61368090997,131,0.001,3084583.101190476,114217964492.19048,43680
336.0,11,44352,3924,-106302.90565400997,132,0.001,3052242.598214286,121258381254.09525,44016
336.0,11,44688,3954,-108279.69344244001,133,0.001,3066148.1770833335,128620247494.09525,44352
336.0,11,45024,3983,-107979.34973978,134,0.001,3050379.589285714,104821623759.2381,44688
336.0,11,45360,4012,-108856.16949971001,135,0.001,3060209.336309524,128503083398.09525,45024
336.0,11,45696,4042,-109813.38635609999,136,0.001,3021309.0520833335,115693646747.42857,45360
336.0,11,46032,4072,-110675.55732338,137,0.001,2999311.8258928573,126018483087.2381,45696
336.0,11,46368,4101,-111169.72532491002,138,0.001,3018065.1666666665,107724562191.2381,46032
336.0,11,46704,4131,-110934.97292085,139,0.001,2996911.4345238097,102502730145.5238,46368
336.0,11,47040,4160,-109870.44462360999,140,0.001,2992396.0476190476,113815471375.2381,46704
336.0,11,47376,4190,-110463.63116692999,141,0.001,2965600.3645833335,112998405443.04762,47040
